experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
gbm_t300d5_s2_00a11defb52e,S04,2026-05-09T11:15:56.032082,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,767,5.3,3.35,registry\predictor\gbm_t300d5_s2_00a11defb52e.joblib,00a11defb52e,0.536585,0.917052,0.522689,1.834104,0.7739,0.0261,,0.0,0.0,0.0,,1.0,0.810301,1.447738,0.766053,2.895475,0.7625,0.0375,,0.0,0.0,0.0,,1.0,1.231052,2.194118,1.075873,4.388236,0.7389,0.0611,,0.0,0.0,0.0,,0.8654,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_d32ad6db19f4,S04,2026-05-09T11:16:42.399836,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,1669,40.7,6.27,registry\predictor\gbm_t300d5_s0_d32ad6db19f4.joblib,d32ad6db19f4,0.517713,0.916985,0.506332,1.83397,0.7862,0.0138,,0.0,0.0,0.0,,1.0,0.781889,1.446807,0.710418,2.893614,0.7702,0.0298,,0.0,0.0,0.0,,1.0,1.168678,2.194925,1.030252,4.389849,0.7483,0.0517,,0.0,0.0,0.0,,0.9278,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_308398e3ef0b,S04,2026-05-09T11:17:28.913981,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,1669,40.8,6.62,registry\predictor\gbm_t300d5_s1_308398e3ef0b.joblib,308398e3ef0b,0.517713,0.916985,0.506332,1.83397,0.7862,0.0138,,0.0,0.0,0.0,,1.0,0.781889,1.446807,0.710418,2.893614,0.7702,0.0298,,0.0,0.0,0.0,,1.0,1.168678,2.194925,1.030252,4.389849,0.7483,0.0517,,0.0,0.0,0.0,,0.9278,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_ffde0d6d1c94,S04,2026-05-09T11:18:15.646978,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,1669,41.1,6.05,registry\predictor\gbm_t300d5_s2_ffde0d6d1c94.joblib,ffde0d6d1c94,0.517713,0.916985,0.506332,1.83397,0.7862,0.0138,,0.0,0.0,0.0,,1.0,0.781889,1.446807,0.710418,2.893614,0.7702,0.0298,,0.0,0.0,0.0,,1.0,1.168678,2.194925,1.030252,4.389849,0.7483,0.0517,,0.0,0.0,0.0,,0.9278,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_9b7291c63ac7,S04,2026-05-09T11:18:25.996472,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,755,5.7,3.22,registry\predictor\gbm_t300d5_s0_9b7291c63ac7.joblib,9b7291c63ac7,0.538508,0.91708,0.52026,1.83416,0.773,0.027,,0.0,0.0,0.0,,1.0,0.811172,1.447844,0.746437,2.895689,0.7562,0.0438,,0.0,0.0,0.0,,0.9606,1.230665,2.19408,1.072625,4.388161,0.7412,0.0588,,0.0,0.0,0.0,,0.8092,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_d094d1cd85b8,S04,2026-05-09T11:18:36.277122,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,755,5.7,3.38,registry\predictor\gbm_t300d5_s1_d094d1cd85b8.joblib,d094d1cd85b8,0.538508,0.91708,0.52026,1.83416,0.773,0.027,,0.0,0.0,0.0,,1.0,0.811172,1.447844,0.746437,2.895689,0.7562,0.0438,,0.0,0.0,0.0,,0.9606,1.230665,2.19408,1.072625,4.388161,0.7412,0.0588,,0.0,0.0,0.0,,0.8092,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_4bfeed4bda83,S04,2026-05-09T11:18:46.608996,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,755,5.7,3.64,registry\predictor\gbm_t300d5_s2_4bfeed4bda83.joblib,4bfeed4bda83,0.538508,0.91708,0.52026,1.83416,0.773,0.027,,0.0,0.0,0.0,,1.0,0.811172,1.447844,0.746437,2.895689,0.7562,0.0438,,0.0,0.0,0.0,,0.9606,1.230665,2.19408,1.072625,4.388161,0.7412,0.0588,,0.0,0.0,0.0,,0.8092,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_bad793cbab02,S05,2026-05-09T11:19:58.978827,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball5,"0.1,0.3,0.5,0.7,0.9",0,2699,62.2,9.57,registry\predictor\gbm_t300d5_s0_bad793cbab02.joblib,bad793cbab02,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,0.861109,0.869926,1.311303,1.308528,1.980845,1.934414,,,,,,,,,,,,
gbm_t300d5_s1_ccc7667d5839,S05,2026-05-09T11:21:07.048941,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball5,"0.1,0.3,0.5,0.7,0.9",1,2699,61.9,9.6,registry\predictor\gbm_t300d5_s1_ccc7667d5839.joblib,ccc7667d5839,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,0.861109,0.869926,1.311303,1.308528,1.980845,1.934414,,,,,,,,,,,,
gbm_t300d5_s2_b5fa619538a0,S05,2026-05-09T11:22:15.026405,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball5,"0.1,0.3,0.5,0.7,0.9",2,2699,61.8,9.53,registry\predictor\gbm_t300d5_s2_b5fa619538a0.joblib,b5fa619538a0,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,0.861109,0.869926,1.311303,1.308528,1.980845,1.934414,,,,,,,,,,,,
gbm_t300d5_s0_66ac37588432,S06,2026-05-09T11:22:25.960449,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,15m,pinball3,"0.1,0.5,0.9",0,196,4.2,1.11,registry\predictor\gbm_t300d5_s0_66ac37588432.joblib,66ac37588432,,,,,,,,,,,,,,,,,,,,,,,,,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_df5030ea43e3,S06,2026-05-09T11:22:34.195122,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,15m,pinball3,"0.1,0.5,0.9",1,196,4.3,1.71,registry\predictor\gbm_t300d5_s1_df5030ea43e3.joblib,df5030ea43e3,,,,,,,,,,,,,,,,,,,,,,,,,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_e3d52281cf7a,S06,2026-05-09T11:22:42.390549,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,15m,pinball3,"0.1,0.5,0.9",2,196,4.2,1.3,registry\predictor\gbm_t300d5_s2_e3d52281cf7a.joblib,e3d52281cf7a,,,,,,,,,,,,,,,,,,,,,,,,,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_761ecb77fc10,S06,2026-05-09T11:23:37.890951,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,3m,7m",pinball3,"0.1,0.5,0.9",0,1765,49.7,6.32,registry\predictor\gbm_t300d5_s0_761ecb77fc10.joblib,761ecb77fc10,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s1_3f45837d1db1,S06,2026-05-09T11:24:33.429478,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,3m,7m",pinball3,"0.1,0.5,0.9",1,1765,49.8,7.1,registry\predictor\gbm_t300d5_s1_3f45837d1db1.joblib,3f45837d1db1,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s2_75c5918284bb,S06,2026-05-09T11:25:28.706481,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,3m,7m",pinball3,"0.1,0.5,0.9",2,1765,49.5,6.06,registry\predictor\gbm_t300d5_s2_75c5918284bb.joblib,75c5918284bb,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s0_46dcaab401a0,S06,2026-05-09T11:26:10.759101,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,7m,15m",pinball3,"0.1,0.5,0.9",0,1362,36.7,6.89,registry\predictor\gbm_t300d5_s0_46dcaab401a0.joblib,46dcaab401a0,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s1_939d8f7c0224,S06,2026-05-09T11:26:52.992815,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,7m,15m",pinball3,"0.1,0.5,0.9",1,1362,36.8,5.04,registry\predictor\gbm_t300d5_s1_939d8f7c0224.joblib,939d8f7c0224,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s2_7325bef14370,S06,2026-05-09T11:27:35.075661,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"1m,7m,15m",pinball3,"0.1,0.5,0.9",2,1362,36.7,4.98,registry\predictor\gbm_t300d5_s2_7325bef14370.joblib,7325bef14370,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s0_c4d17518bf69,S06,2026-05-09T11:28:00.038367,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,1m,pinball3,"0.1,0.5,0.9",0,601,20.6,1.83,registry\predictor\gbm_t300d5_s0_c4d17518bf69.joblib,c4d17518bf69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s1_91c0ea91644b,S06,2026-05-09T11:28:25.139858,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,1m,pinball3,"0.1,0.5,0.9",1,601,20.9,2.3,registry\predictor\gbm_t300d5_s1_91c0ea91644b.joblib,91c0ea91644b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s2_3080352a40dc,S06,2026-05-09T11:28:50.114211,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,1m,pinball3,"0.1,0.5,0.9",2,601,20.8,2.77,registry\predictor\gbm_t300d5_s2_3080352a40dc.joblib,3080352a40dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353381,0.566984,0.353585,1.133968,0.8164,0.0164,,0.0,0.0,0.0,,1.0
gbm_t300d5_s0_74e8e633df39,S06,2026-05-09T11:29:28.700061,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,1360,33.2,6.56,registry\predictor\gbm_t300d5_s0_74e8e633df39.joblib,74e8e633df39,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_f534303aff39,S06,2026-05-09T11:30:07.147628,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,1360,33.0,5.17,registry\predictor\gbm_t300d5_s1_f534303aff39.joblib,f534303aff39,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_e244a3adb806,S06,2026-05-09T11:30:45.789867,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,1360,33.2,5.29,registry\predictor\gbm_t300d5_s2_e244a3adb806.joblib,e244a3adb806,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_302609555999,S06,2026-05-09T11:31:07.059410,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,3m,pinball3,"0.1,0.5,0.9",0,599,16.9,2.81,registry\predictor\gbm_t300d5_s0_302609555999.joblib,302609555999,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_569dca8d5bf0,S06,2026-05-09T11:31:28.515021,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,3m,pinball3,"0.1,0.5,0.9",1,599,17.1,2.19,registry\predictor\gbm_t300d5_s1_569dca8d5bf0.joblib,569dca8d5bf0,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_91cdeb453b60,S06,2026-05-09T11:31:49.870447,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,3m,pinball3,"0.1,0.5,0.9",2,599,17.1,2.81,registry\predictor\gbm_t300d5_s2_91cdeb453b60.joblib,91cdeb453b60,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_57dd2a6eaa92,S06,2026-05-09T11:32:08.268345,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,7m,pinball3,"0.1,0.5,0.9",0,565,14.2,2.5,registry\predictor\gbm_t300d5_s0_57dd2a6eaa92.joblib,57dd2a6eaa92,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_9f15d06099a5,S06,2026-05-09T11:32:26.554612,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,7m,pinball3,"0.1,0.5,0.9",1,565,14.1,2.21,registry\predictor\gbm_t300d5_s1_9f15d06099a5.joblib,9f15d06099a5,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_54482d7ef44f,S06,2026-05-09T11:32:44.910568,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,7m,pinball3,"0.1,0.5,0.9",2,565,14.1,2.3,registry\predictor\gbm_t300d5_s2_54482d7ef44f.joblib,54482d7ef44f,,,,,,,,,,,,,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
